ID_2	X	Y	elevacion	twi	arcilla	pH	COS
171	439491.94	6318077.2	211	122	6.7	5.71	8.38
172	431151.69	6297512.12	207	123	24.1	5.83	11.75
173	440484.77	6275979.3	175	126	8	5.5	7.54
174	440098.62	6250708.9	153	126	10.2	6.42	8.51
175	443317.34	6244372.51	150	124	15	5.63	9.49
176	440967.5	6227406.82	137	129	10.2	9.2	5.31
177	438685.11	6206639.95	147	128	15.8	7.7	9.93
178	440748.31	6181170.21	140	129	16.8	6.6	12.74
179	435022.64	6151497.02	140	125	14.6	6.8	10.89
180	445299.77	6133187.62	127	123	17.4	6.4	11.13
181	409646.23	6716651.09	648	109	20.2	8	20.78
182	414484.44	6691598.27	621	108	18.4	7.7	24.71
183	418050.85	6676477.99	462	100	27.4	6.8	18.33
184	414909.64	6656060.91	442	98	26.9	6.9	24.22
185	415617.58	6642028.94	420	110	25.4	7.1	18.31
186	423666.86	6616209.04	308	118	31.5	6.2	17.06
187	418240.45	6593812.04	338	119	27.8	5.9	17.37
188	414895.03	6575416.09	362	115	27.3	7	17.94
189	408415.59	6559530.63	397	117	31.3	6.9	24.55
190	419639.81	6535326.89	314	127	27.5	6.9	14.49
191	418820.67	6517895.2	327	124	23.4	6.7	17.06
192	419416.76	6496935.98	333	122	22.1	6.7	19.5
193	420262.09	6480316.16	325	120	23.5	6.9	15.99
194	419729.09	6457031.74	329	122	16.4	6.5	9.34
195	419886.44	6437078.79	327	117	30.7	7	9.58
196	422555.73	6416998.92	308	122	18.1	6.7	13.76
197	424187.59	6394252.6	277	120	12.3	6.46	9.92
198	420123.24	6377094.15	307	118	18.6	5.99	13.51
199	416997.72	6363301.56	280	120	7.2	6.93	7.17
200	425171.03	6344753	257	120	13.9	6.19	12.13
201	417917.15	6326745.97	283	119	14.9	6.66	15.58
202	423547.62	6312202.42	250	120	11.1	5.31	11.77
203	420675.52	6277073.31	209	119	13.6	5.45	11.75
204	432630.41	6256210.77	161	124	14	5.98	8.84
205	415059.81	6233150.92	176	124	16.2	6.3	10.96
206	415498.84	6218452.95	165	125	12.8	6.2	10.5
207	413075.1	6197489.78	165	128	13.3	6.3	7.51
208	421888.16	6180591.73	152	126	15.5	6.2	7.32
209	414970.18	6156712.11	145	124	12.2	6.4	6.49
210	415114.34	6136351.04	145	126	13.1	6.4	12.67
211	393546.63	6719911.08	447	105	34.6	7.7	20.71
213	400509.73	6673860.22	864	102	24.3	7.3	26.54
214	388211.04	6657911.83	911	101	14.9	7.4	13.13
215	397694.75	6636408.88	648	100	28.6	6.8	23.79
